MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Machine learning based analysis of speech dimensions in functional oropharyngeal dysphagia,Países Bajos,Computer Methods and Programs in Biomedicine,0169-2607,2021,208,N/A,1 - 22,10.1016/j.cmpb.2021.106248 ,"SEBASTIAN ROLDAN VASCO, ANDRES FELIPE OROZCO DUQUE, JUAN RAFAEL OROZCO ARROYAVE"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Analysis of Residual Stress of Injected Plastic Parts: A Multivariable Approach,Estados Unidos,"Research Journal of Applied Sciences, Engineering and Technology",2040-7459,2021,18,págs:,43 - 58,10.19026/rjaset.18.6063 ,"CARLOS ANDRES VARGAS ISAZA, JUAN CARLOS POSADA CORREA, JUAN FERNANDO BOTERO CADAVID, JUAN DIEGO SIERRA MUNETON"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,On the mathematical modeling for optimal selecting of calibers of conductors in DC radial distribution networks: An MINLP approach,Países Bajos,Electric Power Systems Research,0378-7796,2021,194,1,1 - 10,10.1016/j.epsr.2021.107072 ,LUIS FERNANDO GRISALES NORENA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Analysis of potential waste heat recovery from a stenter in a textile plant,Colombia,DYNA,0012-7353,2021,88,págs:,292 - 301,10.15446/dyna.v88n217.93354 ,"RICARDO ANTONIO MAZO, PEDRO NEL ALVARADO TORRES, KAREN PAOLA CACUA MADERO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,CFD analysis of the needle tip angle in Pelton injector on jet quality for the power generation,,"EUREKA, Physics and Engineering",2461-4254,2021,3,N/A,45 - 59,10.21303/2461-4262.2021.001828 ,"DANIEL GIRALDO TABORDA, JORGE ANDRES SIERRA DEL RIO, DANIEL SANIN VILLA, ARLEY JOHANY CARDONA VARGAS, JUAN DIEGO PEREZ ALVAREZ"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,SHP Assessment for a Run-of-River (RoR) Scheme Using a Rectangular Mesh Sweeping Approach (MSA) Based on GIS,Suiza,Energies,1996-1073,2021,14,11,1 - 21,10.3390/en14113095 ,LUIS FERNANDO GRISALES NORENA
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Control of Steel Detachment and Metal Flow on Aluminum-Steel Friction Stir Welding of thin Joints,Irán,"International Journal of Engineering, Transactions A: Basics",1728-1431,2021,34,4,1024 - 1034,10.5829/IJE.2021.34.04A.29 ,"EDWAR ANDRES TORRES LOPEZ, JONATHAN ANDRES GRACIANO URIBE"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Surfactants versus surface functionalization to improve the stability of graphene nanofluids,,Journal of Dispersion Science and Technology,1532-2351,2021,1,N/A,1 - 9,10.1080/01932691.2021.1880429 ,"JUAN CAMILO ZAPATA HERNANDEZ, GERALDINE DURANGO GIRALDO, DIANA PATRICIA LOPEZ LOPEZ, ROBISON BUITRAGO SIERRA, KAREN PAOLA CACUA MADERO"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,Numerical Comparison of Two Runners for Gravitational Vortex Turbine,,Engineering Transactions,0867-888X,2021,69,1,3 - 17,10.24423/EngTrans.1165.20210126 ,"JORGE ANDRES SIERRA DEL RIO, ALEJANDRO RUIZ SANCHEZ, ANGIE JUDITH GUEVARA MUNOZ, JOSE ALEJANDRO POSADA MONTOYA"
MATERIALES AVANZADOS Y ENERGÍA,Publicado en revista especializada,A Mixed-Integer Conic Formulation for Optimal Placement and Dimensioning of DGs in DC Distribution Networks,Suiza,Electronics,2079-9292,2021,10,2,1 - 15,10.3390/electronics10020176 ,LUIS FERNANDO GRISALES NORENA
