grupo,tipo_de_producto,titulo,pais_revista,revista,issn,ano,vol,fasc,pags,doi,autor
SISCO,Publicado en revista especializada,Extension of a Group Contribution Method to Predict Viscosity Based on Momentum Transport Theory Using a Modified Peng-Robinson EoS,,Industrial & Engineering Chemistry Research,1520-5045,2021,60,págs:,14903 - 14926,10.1021/acs.iecr.1c02146 ,"LUIS FERNANDO CARDONA PALACIO, LUIS ALEJANDRO FORERO GAVIRIA, JORGE ALBERTO VELASQUEZ JIMENEZ"
SISCO,Publicado en revista especializada,Hasta la vista,,"baby. ¿ will machine learning terminate human literature reviews in entrepreneurship?  Reino Unido, Journal of Small Business Management",1540-627X,2021,N/A,págs:,1 - 31,10.1080/00472778.2021.1955125 ,"SEBASTIAN ROBLEDO GIRALDO, ANDRES MAURICIO GRISALES AGUIRRE"
SISCO,Publicado en revista especializada,Superparamagnetic MnFe2O4 Ferrite by Gel Combustion Synthesis Using TRIS as a Fuel: Influence of Oxidizer to Fuel Ratio,Rusia,International Journal of Self-Propagating High-Temperature Synthesis,1061-3862,2021,30,2,73 - 80,10.3103/S1061386221020059 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, TIAGO WERMUTH, CLAUDIA PATRICIA GARCIA GARCIA, JAVIER ALARCON NAVARRO, CARLOS BERGMANN"
SISCO,Publicado en revista especializada,Depresión en estudiantes universitarios derivada del Covid-19: un modelo de clasificación,Colombia,Cuaderno Hispanoamericano De Psicología,2346-0253,2021,21,1,1 - 15,10.18270/chps..v21i1.3712 ,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, JULIANA VALENCIA OCHOA, YENNI RIVERA MONTOYA"
SISCO,Publicado en revista especializada,NiFe2O4 Powders by Solution-Combustion Synthesis Using 6-Aminohexanoic Acid as a Fuel: Structural and Magnetic Properties,Rusia,International Journal of Self-Propagating High-Temperature Synthesis,1061-3862,2021,30,2,111 - 114,10.3103/S1061386221020047 ,"EDGAR ANDRES CHAVARRIAGA MIRANDA, ALEX ARBEY LOPERA SEPULVEDA, TIAGO WERMUTH, CARLOS BERGMANN, JAVIER ALARCON NAVARRO"
SISCO,Publicado en revista especializada,Synthesis of high crystallinity biphasic calcium phosphates/gold nanoparticles composites by solution combustion method with antimicrobial response,España,Boletin De La Sociedad Espanola De Ceramica Y Vidrio,2173-0431,2021,1,págs:,1 - 11,10.1016/j.bsecv.2021.03.007 ,"ALEX ARBEY LOPERA SEPULVEDA, EDGAR ANDRES CHAVARRIAGA MIRANDA, CARLOS GUILLERMO PAUCAR ALVAREZ, CLAUDIA PATRICIA GARCIA GARCIA"
SISCO,Publicado en revista especializada,Development and evaluation of polyvinyl alcohol films reinforced with carbon nanotubes and alumina for manufacturing hybrid metal matrix composites by the sandwich technique,Estados Unidos,AIMS Materials Science,2372-0468,2021,8,2,149 - 165,10.3934/matersci.2021011 ,"CARLOS ANDRES SANCHEZ PALACIOS, YAMILE CARDONA MAYA, JUAN SEBASTIAN RUDAS FLOREZ, CESAR AUGUSTO ISAZA MERINO"
SISCO,Publicado en revista especializada,Enhancement of magnetic and dielectric properties of KNbO3-CoFe2O4 multiferroic composites via thermal treatment,Reino Unido,Ceramics International,0272-8842,2021,47,4,4874 - 4883,10.1016/j.ceramint.2020.10.060 ,"TIAGO WERMUTH, EDGAR ANDRES CHAVARRIAGA MIRANDA, CARLOS BERGMANN"
SISCO,Publicado en revista especializada,Desarrollo de un software para el entrenamiento neuropsicológicode jóvenes infractores de la ley con trastorno de la personalidadantisocial,Colombia,Ingenierías USBMed,2027-5846,2021,12,1,12 - 18,10.21500/20275846.4828 ,"CATALINA QUINTERO LOPEZ, VICTOR DANIEL GIL VERA, ANDRES FELIPE VELEZ VASQUEZ, LUISA FERNANDA SEPULVEDA GUTIERREZ, ELIZABETH ZAPATA LOPEZ"
SISCO,Publicado en revista especializada,Análisis cuantitativo del ordenamiento de alúmina anódica nanoporosa obtenida a diferentes potenciales de anodizado,Colombia,Revista De Ingeniería Universidad Distrital Francisco José De Caldas,2344-8393,2021,26,págs:,- ,10.14483/23448393.16164 ,"FELIX ECHEVERRIA ECHEVERRIA, SARA MARIA AGUILAR SIERRA"
